setor,tunnel,anel,segmento,edificios,desconhecido,pavimento,rochas,matas,ceu
12,100.00,1,1,0.00,0.00,0.00,0.00,0.00,0.00
13,100.00,1,2,0.00,0.00,0.00,0.00,0.00,0.00
14,100.00,1,3,0.00,0.00,0.00,0.00,0.00,0.00
15,100.00,1,4,0.00,0.00,0.00,0.00,0.00,0.00
16,100.00,1,5,0.00,0.00,0.00,0.00,0.00,0.00
17,100.00,1,6,0.00,0.00,0.00,0.00,0.00,0.00
18,100.00,1,7,0.00,0.00,0.00,0.00,0.00,0.00
19,100.00,1,8,0.00,0.00,0.00,0.00,0.00,0.00
20,100.00,1,9,0.00,0.00,0.00,0.00,0.00,0.00
21,100.00,1,10,0.00,0.00,0.00,0.00,0.00,0.00
22,100.00,1,11,0.00,0.00,0.00,0.00,0.00,0.00
23,100.00,1,12,0.00,0.00,0.00,0.00,0.00,0.00
24,100.00,2,1,0.00,0.00,0.00,0.00,0.00,0.00
25,100.00,2,2,0.00,0.00,0.00,0.00,0.00,0.00
26,100.00,2,3,0.00,0.00,0.00,0.00,0.00,0.00
27,100.00,2,4,0.00,0.00,0.00,0.00,0.00,0.00
28,100.00,2,5,0.00,0.00,0.00,0.00,0.00,0.00
29,100.00,2,6,0.00,0.00,0.00,0.00,0.00,0.00
30,100.00,2,7,0.00,0.00,0.00,0.00,0.00,0.00
31,100.00,2,8,0.00,0.00,0.00,0.00,0.00,0.00
32,100.00,2,9,0.00,0.00,0.00,0.00,0.00,0.00
33,100.00,2,10,0.00,0.00,0.00,0.00,0.00,0.00
34,100.00,2,11,0.00,0.00,0.00,0.00,0.00,0.00
35,100.00,2,12,0.00,0.00,0.00,0.00,0.00,0.00
36,100.00,3,1,0.00,0.00,0.00,0.00,0.00,0.00
37,100.00,3,2,0.00,0.00,0.00,0.00,0.00,0.00
38,100.00,3,3,0.00,0.00,0.00,0.00,0.00,0.00
39,100.00,3,4,0.00,0.00,0.00,0.00,0.00,0.00
40,100.00,3,5,0.00,0.00,0.00,0.00,0.00,0.00
41,100.00,3,6,0.00,0.00,0.00,0.00,0.00,0.00
42,100.00,3,7,0.00,0.00,0.00,0.00,0.00,0.00
43,100.00,3,8,0.00,0.00,0.00,0.00,0.00,0.00
44,100.00,3,9,0.00,0.00,0.00,0.00,0.00,0.00
45,100.00,3,10,0.00,0.00,0.00,0.00,0.00,0.00
46,100.00,3,11,0.00,0.00,0.00,0.00,0.00,0.00
47,100.00,3,12,0.00,0.00,0.00,0.00,0.00,0.00
48,100.00,4,1,0.00,0.00,0.00,0.00,0.00,0.00
49,100.00,4,2,0.00,0.00,0.00,0.00,0.00,0.00
50,66.67,4,3,2.15,12.90,18.28,0.00,0.00,0.00
51,76.24,4,4,0.00,9.90,13.86,0.00,0.00,0.00
52,100.00,4,5,0.00,0.00,0.00,0.00,0.00,0.00
53,100.00,4,6,0.00,0.00,0.00,0.00,0.00,0.00
54,100.00,4,7,0.00,0.00,0.00,0.00,0.00,0.00
55,96.97,4,8,1.01,0.00,2.02,0.00,0.00,0.00
56,98.92,4,9,1.08,0.00,0.00,0.00,0.00,0.00
57,100.00,4,10,0.00,0.00,0.00,0.00,0.00,0.00
58,100.00,4,11,0.00,0.00,0.00,0.00,0.00,0.00
59,100.00,4,12,0.00,0.00,0.00,0.00,0.00,0.00
60,100.00,5,1,0.00,0.00,0.00,0.00,0.00,0.00
61,51.71,5,2,0.00,24.36,23.93,0.00,0.00,0.00
62,0.00,5,3,0.00,89.08,10.92,0.00,0.00,0.00
63,0.83,5,4,0.00,92.98,6.20,0.00,0.00,0.00
64,59.40,5,5,0.00,24.36,16.24,0.00,0.00,0.00
65,100.00,5,6,0.00,0.00,0.00,0.00,0.00,0.00
66,100.00,5,7,0.00,0.00,0.00,0.00,0.00,0.00
67,100.00,5,8,0.00,0.00,0.00,0.00,0.00,0.00
68,82.97,5,9,4.37,0.00,12.66,0.00,0.00,0.00
69,100.00,5,10,0.00,0.00,0.00,0.00,0.00,0.00
70,93.59,5,11,2.56,0.43,3.42,0.00,0.00,0.00
71,100.00,5,12,0.00,0.00,0.00,0.00,0.00,0.00
72,93.59,6,1,1.00,2.20,3.21,0.00,0.00,0.00
73,3.68,6,2,0.00,27.20,69.12,0.00,0.00,0.00
74,0.00,6,3,0.00,37.84,62.16,0.00,0.00,0.00
75,0.00,6,4,0.00,90.78,9.22,0.00,0.00,0.00
76,5.93,6,5,0.41,69.73,23.93,0.00,0.00,0.00
77,90.02,6,6,5.41,0.83,3.74,0.00,0.00,0.00
78,100.00,6,7,0.00,0.00,0.00,0.00,0.00,0.00
79,100.00,6,8,0.00,0.00,0.00,0.00,0.00,0.00
80,88.98,6,9,2.29,0.21,8.52,0.00,0.00,0.00
81,100.00,6,10,0.00,0.00,0.00,0.00,0.00,0.00
82,89.98,6,11,2.04,0.00,7.98,0.00,0.00,0.00
83,100.00,6,12,0.00,0.00,0.00,0.00,0.00,0.00
84,42.14,7,1,0.17,36.70,6.30,14.68,0.00,0.00
85,0.00,7,2,0.00,31.21,68.79,0.00,0.00,0.00
86,0.00,7,3,0.00,0.98,99.02,0.00,0.00,0.00
87,0.00,7,4,0.00,39.72,60.28,0.00,0.00,0.00
88,0.00,7,5,0.00,93.88,6.12,0.00,0.00,0.00
89,49.82,7,6,4.43,13.03,25.89,4.52,2.30,0.00
90,89.64,7,7,7.77,0.78,1.81,0.00,0.00,0.00
91,99.56,7,8,0.35,0.09,0.00,0.00,0.00,0.00
92,93.97,7,9,0.80,0.44,4.79,0.00,0.00,0.00
93,96.37,7,10,0.69,0.00,2.94,0.00,0.00,0.00
94,94.14,7,11,0.79,0.26,4.81,0.00,0.00,0.00
95,100.00,7,12,0.00,0.00,0.00,0.00,0.00,0.00
96,1.03,8,1,0.66,54.94,24.18,16.71,1.72,0.75
97,0.00,8,2,0.00,27.23,72.77,0.00,0.00,0.00
98,0.00,8,3,0.00,0.00,100.00,0.00,0.00,0.00
99,0.00,8,4,0.00,3.45,96.55,0.00,0.00,0.00
100,0.00,8,5,0.00,89.46,10.54,0.00,0.00,0.00
101,1.46,8,6,1.69,33.04,43.23,15.82,2.16,2.60
102,0.89,8,7,0.03,18.58,31.94,32.91,12.78,2.87
103,16.63,8,8,0.52,11.47,4.84,45.10,21.44,0.00
104,15.85,8,9,0.44,13.16,10.42,31.29,28.52,0.32
105,21.31,8,10,0.63,11.66,12.95,43.45,8.79,1.21
106,17.18,8,11,1.36,24.07,19.24,27.35,10.81,0.00
107,18.33,8,12,2.07,2.77,24.11,36.05,16.67,0.00
108,4.46,9,1,0.00,63.04,2.77,26.08,3.62,0.02
109,0.00,9,2,0.00,49.26,50.36,0.00,0.00,0.38
110,0.00,9,3,0.00,0.00,100.00,0.00,0.00,0.00
111,0.00,9,4,0.00,0.00,100.00,0.00,0.00,0.00
112,0.00,9,5,0.00,77.29,22.71,0.00,0.00,0.00
113,40.42,9,6,1.77,24.03,31.27,0.39,2.11,0.01
114,68.84,9,7,0.00,0.98,0.00,8.84,21.34,0.00
115,34.84,9,8,0.09,1.27,0.00,2.52,61.05,0.23
116,0.23,9,9,1.73,0.46,0.41,14.25,37.21,45.69
117,0.19,9,10,2.01,0.49,0.68,11.10,42.32,43.20
118,3.00,9,11,1.39,1.53,0.85,26.95,39.63,26.65
119,14.65,9,12,0.06,4.63,0.17,53.63,26.86,0.00
